sampleCount,distinctYearsUsed,effectiveYearCount,earliestSourceYear,latestSourceYear,fallbackLevel,averageSimilarity,minimumSimilarity,topYearWeightShare,latestYearWeightShare
50,1,1.0000,2025,2025,NATIONWIDE_TYPE_VENUE,0.7706,0.7250,1.0000,1.0000
50,1,1.0000,2025,2025,NATIONWIDE_TYPE_VENUE,0.7618,0.7050,1.0000,1.0000
50,1,1.0000,2025,2025,NATIONWIDE_TYPE_VENUE,0.8109,0.7607,1.0000,1.0000
50,1,1.0000,2025,2025,NATIONWIDE_TYPE_VENUE,0.8223,0.7650,1.0000,1.0000
50,1,1.0000,2025,2025,NATIONWIDE_TYPE_VENUE,0.8155,0.7750,1.0000,1.0000
50,1,1.0000,2025,2025,NATIONWIDE_TYPE_VENUE,0.8117,0.7650,1.0000,1.0000
50,1,1.0000,2025,2025,NATIONWIDE_TYPE_VENUE,0.8101,0.7417,1.0000,1.0000
50,5,4.6868,2017,2021,SAME_REGION_TYPE,0.9290,0.9231,0.2599,0.2401
50,1,1.0000,2025,2025,NATIONWIDE_TYPE_VENUE,0.8108,0.7500,1.0000,1.0000
50,1,1.0000,2025,2025,NATIONWIDE_TYPE_VENUE,0.8349,0.7875,1.0000,1.0000
50,1,1.0000,2025,2025,NATIONWIDE_TYPE_VENUE,0.8110,0.7875,1.0000,1.0000
50,1,1.0000,2025,2025,NATIONWIDE_TYPE_VENUE,0.8516,0.7950,1.0000,1.0000
50,1,1.0000,2025,2025,NATIONWIDE_TYPE_VENUE,0.7870,0.7125,1.0000,1.0000
23,1,1.0000,2025,2025,NATIONWIDE_TYPE_VENUE,0.8349,0.7650,1.0000,1.0000
50,1,1.0000,2025,2025,NATIONWIDE_TYPE_VENUE,0.8370,0.7750,1.0000,1.0000
50,1,1.0000,2025,2025,NATIONWIDE_TYPE_VENUE,0.8107,0.7568,1.0000,1.0000
41,1,1.0000,2025,2025,NATIONWIDE_TYPE_VENUE,0.8048,0.6908,1.0000,1.0000
